date,000001.SZ,000725.SZ,000768.SZ,000858.SZ,002008.SZ,002304.SZ,002594.SZ,600016.SH,600036.SH,600104.SH,600111.SH,600660.SH,601601.SH,601628.SH,601788.SH
2021-10-19,1,-100,0,0,2,3,0,0,100,100,-100,-100,-100,100,100
2021-10-20,0,-100,0,0,3,4,0,0,100,100,-100,-100,-100,100,100
2021-10-21,1,-100,0,0,3,5,0,0,100,100,-100,-100,-100,100,100
2021-10-22,0,-100,0,0,2,4,0,0,100,100,-100,-100,-100,100,100
2021-10-25,0,-100,1,0,2,6,0,0,100,100,-100,-100,-100,100,100
2021-10-26,0,-100,0,0,2,8,0,0,100,100,-100,-100,-100,100,100
2021-10-27,0,-100,0,0,4,8,0,0,100,100,-100,-100,-100,100,100
2021-10-28,0,-100,0,0,0,7,0,0,100,100,-100,-100,-100,100,100
2021-10-29,0,-100,0,0,4,6,0,0,100,100,-100,-100,-100,100,100
2021-11-01,1,-100,0,0,1,4,0,0,100,100,-100,-100,-100,100,100
2021-11-02,0,-100,0,0,1,6,0,0,100,100,-100,-100,-100,100,100
2021-11-03,0,-100,0,0,3,6,0,0,100,100,-100,-100,-100,100,100
2021-11-04,1,-100,0,0,3,7,0,0,100,100,-100,-100,-100,100,100
2021-11-05,1,-100,0,0,3,6,0,0,100,100,-100,-100,-100,100,100
2021-11-08,0,-100,1,0,0,8,0,0,100,100,-100,-100,-100,100,100
2021-11-09,0,-100,0,0,1,7,0,0,100,100,-100,-100,-100,100,100
2021-11-10,1,-100,0,0,3,6,0,0,100,100,-100,-100,-100,100,100
2021-11-11,1,-100,0,0,2,5,0,0,100,100,-100,-100,-100,100,100
2021-11-12,0,-100,0,0,1,6,0,0,100,100,-100,-100,-100,100,100
2021-11-15,0,-100,0,0,0,5,0,0,100,100,-100,-100,-100,100,100
2021-11-16,0,-100,0,0,0,5,0,0,100,100,-100,-100,-100,100,100
2021-11-17,1,-100,0,0,3,6,0,0,100,100,-100,-100,-100,100,100
2021-11-18,1,-100,0,0,2,6,0,0,100,100,-100,-100,-100,100,100
2021-11-19,1,-100,0,0,2,5,0,0,100,100,-100,-100,-100,100,100
2021-11-22,1,-100,0,0,0,8,0,0,100,100,-100,-100,-100,100,100
2021-11-23,0,-100,0,0,1,8,0,0,100,100,-100,-100,-100,100,100
2021-11-24,0,-100,0,0,3,9,0,0,100,100,-100,-100,-100,100,100
2021-11-25,0,-100,0,0,3,9,0,0,100,100,-100,-100,-100,100,100
2021-11-26,0,-100,0,0,3,11,0,0,100,100,-100,-100,-100,100,100
2021-11-29,1,-100,0,0,2,11,0,0,100,100,-100,-100,-100,100,100
2021-11-30,1,-100,0,0,1,10,0,0,100,100,-100,-100,-100,100,100
2021-12-01,1,-100,0,0,0,9,0,0,100,100,-100,-100,-100,100,100
2021-12-02,1,-100,0,0,0,10,0,0,100,100,-100,-100,-100,100,100
2021-12-03,0,-100,1,0,1,8,0,0,100,100,-100,-100,-100,100,100
2021-12-06,0,-100,1,0,1,7,0,0,100,100,-100,-100,-100,100,100
2021-12-07,1,-100,0,0,3,6,0,0,100,100,-100,-100,-100,100,100
2021-12-08,1,-100,0,0,1,6,0,0,100,100,-100,-100,-100,100,100
2021-12-09,0,-100,1,0,0,6,0,0,100,100,-100,-100,-100,100,100
2021-12-10,0,-100,1,0,2,5,0,0,100,100,-100,-100,-100,100,100
2021-12-13,0,-100,0,0,0,7,0,0,100,100,-100,-100,-100,100,100
2021-12-14,1,-100,0,0,0,6,0,0,100,100,-100,-100,-100,100,100
2021-12-15,0,-100,1,0,1,5,0,0,100,100,-100,-100,-100,100,100
2021-12-16,0,-100,1,0,0,6,0,0,100,100,-100,-100,-100,100,100
2021-12-17,0,-100,0,0,0,5,0,0,100,100,-100,-100,-100,100,100
2021-12-20,0,-100,0,0,1,5,0,0,100,100,-100,-100,-100,100,100
2021-12-21,0,-100,0,0,1,4,0,0,100,100,-100,-100,-100,100,100
2021-12-22,0,-100,1,0,0,5,0,0,100,100,-100,-100,-100,100,100
2021-12-23,1,-100,0,0,0,6,0,0,100,100,-100,-100,-100,100,100
2021-12-24,0,-100,0,0,2,5,0,0,100,100,-100,-100,-100,100,100
2021-12-27,0,-100,0,0,1,5,0,0,100,100,-100,-100,-100,100,100
2021-12-28,0,-100,0,0,0,6,0,0,100,100,-100,-100,-100,100,100
2021-12-29,0,-100,0,0,0,7,0,0,100,100,-100,-100,-100,100,100
2021-12-30,0,-100,0,0,2,6,0,0,100,100,-100,-100,-100,100,100
2021-12-31,0,-100,0,0,1,6,0,0,100,100,-100,-100,-100,100,100
2022-01-04,2,-100,0,0,1,5,0,0,100,100,-100,-100,-100,100,100
2022-01-05,0,-100,0,0,0,4,0,0,100,100,-100,-100,-100,100,100
2022-01-06,0,-100,0,0,3,4,0,0,100,100,-100,-100,-100,100,100
2022-01-07,0,-100,1,0,0,4,0,0,100,100,-100,-100,-100,100,100
2022-01-10,0,-100,1,0,0,5,0,0,100,100,-100,-100,-100,100,100
2022-01-11,1,-100,0,0,1,4,0,0,100,100,-100,-100,-100,100,100
2022-01-12,0,-100,0,0,3,4,0,0,100,100,-100,-100,-100,100,100
2022-01-13,0,-100,0,0,0,4,0,0,100,100,-100,-100,-100,100,100
