account_rewards,date
-626.8789999999572,2021-04-09
-168.2870000001276,2021-04-12
2449.7799999999115,2021-04-13
-2503.047999999835,2021-04-14
950.5689999999013,2021-04-15
11479.371999999974,2021-04-16
-4096.5470000000205,2021-04-19
-2499.9669999998296,2021-04-20
9.340999999898486,2021-04-21
894.3359999998938,2021-04-22
-2884.7570000000997,2021-04-23
-1895.4980000000214,2021-04-26
1485.65699999989,2021-04-27
-1617.4599999999627,2021-04-28
-8345.34699999995,2021-04-29
-15090.792999999947,2021-04-30
-11559.852000000072,2021-05-06
8354.826000000001,2021-05-07
-6265.640000000014,2021-05-10
17526.68799999985,2021-05-11
-18472.189999999944,2021-05-12
22076.68799999985,2021-05-13
21470.683000000077,2021-05-14
-1907.2519999999786,2021-05-17
34514.826,2021-05-18
-1726.5559999999823,2021-05-19
-7569.491000000038,2021-05-20
-2052.2120000000577,2021-05-21
28326.019310000003,2021-05-24
3168.4799999999814,2021-05-25
2463.310000000056,2021-05-26
15090.409999999916,2021-05-27
-4663.459999999963,2021-05-28
21503.280000000028,2021-05-31
-10021.129999999888,2021-06-01
-8784.170000000158,2021-06-02
28925.939999999944,2021-06-03
-986.9899999997579,2021-06-04
34206.409999999916,2021-06-07
3058.2399999999907,2021-06-08
30414.060000000056,2021-06-09
38089.16000000015,2021-06-10
7643.829999999609,2021-06-11
-71331.04999999981,2021-06-15
56449.0,2021-06-16
43044.080000000075,2021-06-17
-3748.560000000056,2021-06-18
-1906.9599999999627,2021-06-21
16417.540000000037,2021-06-22
144.40999999968335,2021-06-23
4196.000000000233,2021-06-24
16192.379999999888,2021-06-25
-8687.679999999935,2021-06-28
-8584.149999999907,2021-06-29
-42363.89000000013,2021-06-30
-4595.279999999795,2021-07-01
31620.27000000002,2021-07-02
7879.539999999804,2021-07-05
24932.070000000065,2021-07-06
-18463.090000000084,2021-07-07
-211.22999999998137,2021-07-08
59741.44999999995,2021-07-09
