date,000001.SZ,000725.SZ,000768.SZ,000858.SZ,002008.SZ,002304.SZ,002594.SZ,600016.SH,600036.SH,600104.SH,600111.SH,600660.SH,601601.SH,601628.SH,601788.SH
2022-07-27,-64,33,-99,-53,0,0,73,0,0,-50,43,-100,-39,0,-93
2022-07-28,21,53,-59,24,0,0,50,23,100,-100,-43,30,-100,0,21
2022-07-29,39,-86,100,-100,0,100,-63,34,100,-77,24,-100,-100,35,-16
2022-08-01,100,0,42,-23,100,-100,36,48,-100,-78,-24,2,-100,-13,100
2022-08-02,-53,0,-42,66,-100,55,71,-100,100,100,0,38,-60,-22,42
2022-08-03,100,20,43,65,0,-38,100,4,-2,26,100,-40,-36,94,-22
2022-08-04,89,-20,-41,-67,78,100,-100,-9,-48,-28,100,100,66,-94,-96
2022-08-05,100,0,-100,-60,25,100,-53,0,65,-59,33,-88,-48,0,94
2022-08-08,-41,0,-91,85,73,-4,-21,0,-100,40,90,57,-50,100,-100
2022-08-09,-100,0,-14,16,100,-99,-62,100,-26,-89,-78,100,52,-89,-56
2022-08-10,-24,100,96,-16,-87,-100,-67,-75,100,-46,19,100,-52,-11,100
2022-08-11,35,-83,48,12,99,100,13,-2,100,-100,29,-88,91,44,-100
2022-08-12,-37,-14,-79,16,0,-100,70,-23,-64,-27,100,-18,72,42,100
2022-08-15,42,-3,-72,7,78,97,95,0,31,23,-76,57,100,27,-53
2022-08-16,-94,0,100,80,-100,-31,-16,0,-100,-21,-100,-100,-100,38,-39
2022-08-17,100,0,-27,-37,100,-80,7,0,100,-2,-48,69,-63,-100,-58
2022-08-18,-21,43,-17,100,48,100,-56,0,75,0,90,-100,-100,64,-80
2022-08-19,-100,-43,-6,-16,-100,23,38,0,100,0,-21,-100,64,-100,74
2022-08-22,-13,8,-76,12,44,18,0,0,5,0,11,50,-64,-15,-100
2022-08-23,7,-3,30,-9,5,100,100,50,17,0,-22,-55,0,0,13
2022-08-24,-24,-4,28,100,48,-43,100,-50,39,100,20,-51,100,100,-77
2022-08-25,100,-1,100,29,-4,50,-100,52,64,55,-22,100,-42,69,10
2022-08-26,-100,39,-67,-36,-100,-12,-100,-23,44,-100,-100,39,-4,-56,-52
2022-08-29,-17,39,49,98,18,98,52,5,100,4,36,68,100,100,62
2022-08-30,54,-78,100,-100,-100,-63,-100,-34,0,100,-90,-29,-13,100,-33
2022-08-31,100,0,2,-100,33,22,7,100,-39,-100,28,100,-79,7,91
2022-09-01,5,6,-42,-16,59,-27,100,-100,-32,-59,-99,89,100,-18,100
2022-09-02,29,100,-100,-73,-91,-100,-57,0,-100,1,23,22,-37,27,-100
2022-09-05,100,16,100,100,94,-2,59,28,-2,35,12,36,1,-100,20
2022-09-06,19,63,100,-35,-8,71,-100,48,-74,-10,8,-30,-23,-8,-41
2022-09-07,-100,12,-44,-100,79,52,100,10,45,-26,-43,-41,16,18,100
2022-09-08,100,76,100,-100,100,-7,85,-86,11,100,0,-65,-64,-100,100
2022-09-09,-51,-23,-100,-100,100,-46,-100,100,36,100,0,-100,52,-73,100
2022-09-13,-100,-100,-54,-100,-39,-49,-79,65,-100,-100,0,-26,-100,-66,-100
2022-09-14,-100,100,-100,3,4,100,100,68,-100,-7,0,-7,-7,0,-35
2022-09-15,100,-13,100,-17,-23,100,-71,57,-100,69,100,100,0,0,100
2022-09-16,-69,4,-17,15,-52,89,-100,-40,78,-2,99,-78,0,34,30
2022-09-19,67,100,33,-91,6,-100,-5,-37,-21,100,100,67,0,-34,-46
2022-09-20,73,69,-39,100,-100,34,-100,25,-20,-27,-24,100,0,100,-55
2022-09-21,-70,-16,100,-64,100,-32,47,6,-97,2,44,-100,0,-53,-74
2022-09-22,25,-82,75,-36,100,-96,100,23,-80,-10,0,-66,0,-47,-66
2022-09-23,-83,74,86,16,-14,-100,2,100,55,2,-61,33,49,0,100
2022-09-26,52,49,93,100,100,48,31,0,-1,-12,48,100,29,100,18
2022-09-27,-47,100,100,8,-50,100,-100,-100,59,2,-69,-13,100,68,21
2022-09-28,-100,-100,-36,-23,-53,-100,100,36,-51,-44,-41,-31,42,100,-82
2022-09-29,63,41,-17,-33,84,-100,10,-63,-27,-90,46,100,100,-66,30
2022-09-30,38,-100,-81,79,38,78,-38,-33,100,-18,-100,67,-100,-21,100
2022-10-10,21,-30,100,-75,79,19,100,-58,100,100,-37,70,-74,-69,74
2022-10-11,-97,-100,100,67,28,92,-2,-100,-18,26,1,-84,16,14,-100
2022-10-12,-100,-69,77,-48,-100,0,2,83,69,-50,83,-100,-11,100,-100
2022-10-13,12,100,-81,-91,100,-97,-67,26,-100,-7,15,78,-5,64,93
2022-10-14,100,100,-60,0,100,-44,100,-34,52,-100,-9,1,-100,4,38
2022-10-17,100,-20,42,0,-13,-100,-86,-63,-100,100,-5,-35,-46,-77,100
2022-10-18,100,-25,-12,20,100,100,72,-61,21,-67,-100,100,99,53,63
2022-10-19,-33,56,100,30,-62,100,100,0,5,-67,-90,100,-8,100,-86
2022-10-20,95,23,-34,-50,36,100,-100,0,-27,0,0,-100,-64,25,100
2022-10-21,-89,53,-100,0,-53,15,-23,29,-62,0,16,85,99,-70,-24
2022-10-24,51,100,-50,0,23,100,-54,-29,-41,12,-16,-74,34,-46,100
2022-10-25,-6,98,27,100,-100,47,-42,0,100,-12,0,100,24,-36,9
2022-10-26,-21,93,100,47,-21,100,48,44,100,64,100,100,-100,-100,-57
2022-10-27,10,-100,-13,-100,54,-18,-11,-44,13,-7,62,82,46,83,-64
2022-10-28,-37,100,65,-47,0,-10,-24,0,-48,-57,35,44,50,19,49
