account_rewards,date
17337.952989999903,2021-10-19
37512.98007999989,2021-10-20
-8378.314160000067,2021-10-21
37498.99932000018,2021-10-22
20558.62659,2021-10-25
-9653.409800000023,2021-10-26
-37579.67916000006,2021-10-27
-14142.405049999943,2021-10-28
-29501.30752000003,2021-10-29
3347.2352899999823,2021-11-01
-2644.1347999998834,2021-11-02
24157.84311999986,2021-11-03
-3564.1156999999657,2021-11-04
20516.404490000103,2021-11-05
-16770.160420000087,2021-11-08
-18147.847240000032,2021-11-09
14580.697200000053,2021-11-10
7444.986909999978,2021-11-11
-6370.78703999985,2021-11-12
-19791.86170000001,2021-11-15
20206.887249999912,2021-11-16
-242.22989999991842,2021-11-17
4313.854659999954,2021-11-18
27784.352930000052,2021-11-19
-71.11780000012368,2021-11-22
10707.717670000158,2021-11-23
-5436.47145000007,2021-11-24
3888.658400000073,2021-11-25
97.91731999977492,2021-11-26
-11768.048859999748,2021-11-29
-2915.2115900001954,2021-11-30
16975.75023000012,2021-12-01
-2112.159390000161,2021-12-02
-8848.12762999977,2021-12-03
-12145.067370000295,2021-12-06
9978.832770000212,2021-12-07
19936.31776999985,2021-12-08
-3872.175760000013,2021-12-09
2174.5869400000665,2021-12-10
-23171.28689999995,2021-12-13
-13290.366099999752,2021-12-14
11763.723859999795,2021-12-15
-23885.133859999944,2021-12-16
-13398.671050000004,2021-12-17
2531.0322700000834,2021-12-20
-3943.5468600003514,2021-12-21
9423.64063000027,2021-12-22
-9532.599799999967,2021-12-23
-3071.8285399999004,2021-12-24
5979.684779999778,2021-12-27
-16344.8302000002,2021-12-28
11782.186200000113,2021-12-29
70.32268000021577,2021-12-30
2001.200619999785,2021-12-31
-12103.91669999971,2022-01-04
-17809.474600000307,2022-01-05
584.0061500000302,2022-01-06
-2105.362569999881,2022-01-07
-10360.226849999977,2022-01-10
5399.730090000201,2022-01-11
-18364.213609999977,2022-01-12
-12714.439200000139,2022-01-13
