account_rewards,date
-26855.36063999997,2022-04-25
18256.35346000013,2022-04-26
3950.5020999998087,2022-04-27
34506.59571000002,2022-04-28
9511.779720000108,2022-04-29
-17287.05952999997,2022-05-05
-4427.79907999991,2022-05-06
4977.154599999776,2022-05-09
9921.5120300001,2022-05-10
-3594.1037899999646,2022-05-11
14126.405050000176,2022-05-12
-6718.064330000314,2022-05-13
20835.97628000006,2022-05-16
-3782.2139699999243,2022-05-17
-11570.262070000055,2022-05-18
21371.65714000014,2022-05-19
-1931.0890899999067,2022-05-20
-10724.194040000206,2022-05-23
3372.2658999999985,2022-05-24
3484.188360000029,2022-05-25
1665.185579999932,2022-05-26
11506.93365999998,2022-05-27
11100.232959999936,2022-05-30
13615.893799999962,2022-05-31
5857.073500000406,2022-06-01
15348.31874999986,2022-06-02
351.93671000003815,2022-06-06
11259.656140000094,2022-06-07
-3871.7622200001497,2022-06-08
40528.06639000005,2022-06-09
-10229.244060000172,2022-06-10
23760.79084999999,2022-06-13
37985.92665000004,2022-06-14
-22715.68044999987,2022-06-15
-2089.799190000398,2022-06-16
6066.24887000001,2022-06-17
5675.900310000172,2022-06-20
-15738.895099999849,2022-06-21
49855.61578999995,2022-06-22
9422.36419000011,2022-06-23
-2255.747310000239,2022-06-24
6461.146230000304,2022-06-27
-30853.443960000062,2022-06-28
10284.94692999986,2022-06-29
-17670.707120000152,2022-06-30
3584.78674999997,2022-07-01
3424.4261000002734,2022-07-04
-12001.746909999987,2022-07-05
16492.8722000001,2022-07-06
-1243.3885000001173,2022-07-07
-21956.94121999992,2022-07-08
-10591.432610000018,2022-07-11
-14001.323220000137,2022-07-12
-1217.898270000238,2022-07-13
-16460.783619999653,2022-07-14
-1123.3659800000023,2022-07-15
144.8757199998945,2022-07-18
287.869810000062,2022-07-19
-1347.2781299999915,2022-07-20
682.6191899997648,2022-07-21
-1872.6669600000605,2022-07-22
2048.964099999983,2022-07-25
