date,000001.SZ,000725.SZ,000768.SZ,000858.SZ,002008.SZ,002304.SZ,002594.SZ,600016.SH,600036.SH,600104.SH,600111.SH,600660.SH,601601.SH,601628.SH,601788.SH
2022-04-25,0,5,0,0,1,2,0,0,-100,-100,100,100,0,0,-85
2022-04-26,-36,-78,100,0,-84,-2,18,0,0,-100,0,5,100,-100,-100
2022-04-27,100,-25,0,23,0,0,0,0,-100,100,1,-17,-100,-10,-4
2022-04-28,1,0,0,0,4,77,-18,0,-100,0,0,0,0,-100,-64
2022-04-29,-35,-38,100,-23,100,-10,33,92,-72,-24,-44,-53,0,-32,-17
2022-05-05,-100,37,16,0,-29,34,-1,13,-18,-7,-27,-96,81,-100,-78
2022-05-06,55,21,45,0,100,4,-32,-100,22,8,7,-67,100,-100,-17
2022-05-09,100,-42,81,0,-100,-100,100,-5,-100,-100,-37,100,-80,60,8
2022-05-10,-69,63,0,0,-21,-5,35,0,-100,100,0,0,100,-100,-78
2022-05-11,0,-24,-24,6,0,0,0,0,0,-18,100,4,-33,-100,-26
2022-05-12,0,2,88,0,0,100,-75,0,-43,-2,-46,100,100,-45,-58
2022-05-13,0,100,-59,100,100,-100,8,2,-100,0,-54,91,-49,9,-83
2022-05-16,-64,-66,100,-100,-54,30,-51,-2,-100,100,20,-52,100,100,14
2022-05-17,0,-80,6,33,-100,-30,100,0,-28,-66,-20,-42,100,0,-3
2022-05-18,-80,0,-100,49,-14,0,0,0,-32,-47,0,-50,-31,-2,100
2022-05-19,77,-100,43,-88,-100,72,-51,0,-100,-100,21,-100,100,-100,59
2022-05-20,100,-21,-44,32,-36,-72,100,30,-100,60,-4,-100,-38,-89,-69
2022-05-23,-100,-100,6,0,-100,0,84,1,-78,100,-17,0,-100,-100,100
2022-05-24,52,100,-100,100,-100,0,-72,35,-23,75,0,-81,-59,100,-19
2022-05-25,0,100,0,1,-38,0,75,0,-100,-28,0,-100,-35,-74,0
2022-05-26,-100,3,-9,-23,-14,0,-10,5,-35,100,0,-8,59,9,100
2022-05-27,3,-92,0,-26,0,85,-12,98,-45,100,0,-100,100,100,-57
2022-05-30,1,-98,0,1,0,-10,10,-34,0,-100,0,0,100,-45,-32
2022-05-31,-59,100,50,-83,0,-75,100,-100,-41,-23,8,39,0,-88,-100
2022-06-01,6,1,-55,0,0,0,23,-35,-100,0,100,-35,-62,-38,-100
2022-06-02,-81,0,0,0,4,0,17,4,-79,100,0,-54,0,-23,0
2022-06-06,0,0,0,1,100,0,3,3,0,1,0,-77,0,-19,-44
2022-06-07,0,0,-100,66,0,0,-13,-7,-65,-43,1,-71,93,1,-24
2022-06-08,0,4,8,-69,0,0,50,0,-67,100,-44,0,-77,0,-5
2022-06-09,0,100,89,0,-5,0,0,100,-22,-57,9,-100,-100,8,22
2022-06-10,0,-100,62,0,-22,0,22,-100,4,-36,-62,-100,100,100,-100
2022-06-13,0,-20,42,59,36,0,-62,38,9,-100,100,86,3,-100,-100
2022-06-14,0,-31,100,-39,-100,0,-100,-3,-100,100,-59,100,16,90,40
2022-06-15,1,-100,0,-20,-13,100,100,-4,-100,100,-53,100,0,-6,-46
2022-06-16,-1,5,0,0,7,0,20,-14,-32,0,0,-100,0,-5,-66
2022-06-17,50,100,84,34,100,-44,-20,100,-100,-100,4,-1,23,-23,-23
2022-06-20,0,-57,2,-34,0,0,55,-68,0,1,-4,-36,0,-100,-24
2022-06-21,-50,-24,30,21,29,79,-100,-34,-100,-81,12,54,-100,19,-17
2022-06-22,1,-12,0,83,-100,-100,100,1,-74,100,-12,-90,-63,-18,-59
2022-06-23,25,77,68,-19,-36,-35,-100,100,-10,-100,100,100,30,-96,-76
2022-06-24,-26,100,-36,26,0,0,-31,-100,-62,100,100,100,79,-22,-64
2022-06-27,4,-100,19,47,0,61,47,-16,26,-100,92,-1,43,-100,-100
2022-06-28,1,-23,2,0,0,-55,53,0,-100,-88,-40,0,100,0,100
2022-06-29,0,6,-75,-56,5,0,69,0,-73,-100,100,-54,-78,-100,-100
2022-06-30,-5,7,0,-88,-5,0,91,1,0,-100,-73,-100,-100,-32,-35
2022-07-01,0,44,0,0,0,44,0,-1,100,-41,-100,-88,0,-100,-100
2022-07-04,0,100,100,28,0,-50,-5,4,94,-100,2,0,0,-8,-14
2022-07-05,0,35,100,100,0,9,-100,43,-100,62,-1,3,100,100,94
2022-07-06,9,91,79,8,0,-9,-67,-47,-99,-61,-100,-100,100,-56,40
2022-07-07,100,-98,100,66,0,82,-22,0,-100,100,-80,100,100,-97,86
2022-07-08,-96,-75,27,58,0,-23,-13,0,-49,92,0,52,100,48,-29
2022-07-11,-13,100,89,100,0,-59,-87,0,22,-95,0,83,84,-87,-63
2022-07-12,51,100,15,-56,0,0,-100,0,10,100,0,-100,38,-70,100
2022-07-13,100,-100,100,-7,0,0,64,100,-100,55,81,84,100,-100,53
2022-07-14,72,-100,40,-100,0,28,82,26,-100,59,-11,45,29,-100,41
2022-07-15,-223,-2301,-7047,-211,0,-28,-317,-126,-3840,-7191,-70,-3779,-1073,-8598,-4478
2022-07-18,0,41,100,74,0,26,0,0,0,100,100,0,100,0,100
2022-07-19,74,38,50,0,0,-26,34,0,0,44,-95,0,100,0,-34
2022-07-20,100,-79,-35,100,0,0,41,0,0,100,-5,66,-13,0,100
2022-07-21,83,0,77,100,0,21,100,0,0,100,60,28,100,100,100
2022-07-22,86,0,100,60,0,-21,100,0,0,95,-60,59,100,0,71
2022-07-25,100,0,2,87,0,0,37,0,0,49,0,100,80,-100,51
