ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20100104,3243.76,3289.75,3295.279,3243.319,3277.139,-33.379,-1.0185,109447927.0,133773495.629
000001.SH,20100105,3282.179,3254.468,3290.512,3221.462,3243.76,38.419,1.1844,126115066.0,161858172.982
000001.SH,20100106,3254.215,3277.517,3295.868,3253.044,3282.179,-27.964,-0.852,123651384.0,158040114.736
000001.SH,20100107,3192.776,3253.991,3268.819,3176.707,3254.215,-61.439,-1.888,128652827.0,157229581.955
000001.SH,20100108,3195.997,3177.259,3198.92,3149.017,3192.776,3.221,0.1009,98377147.0,121739882.072
000001.SH,20100111,3212.75,3301.611,3306.751,3197.328,3195.997,16.753,0.5242,136327216.0,177557637.091
000001.SH,20100112,3273.966,3205.705,3275.202,3180.085,3212.75,61.216,1.9054,140655241.0,173949587.794
000001.SH,20100113,3172.658,3204.976,3232.818,3165.485,3273.966,-101.308,-3.0944,158344278.0,197329891.934
000001.SH,20100114,3215.55,3183.381,3219.016,3165.596,3172.658,42.892,1.3519,135954504.0,168004201.475
000001.SH,20100115,3224.152,3217.19,3241.815,3197.221,3215.55,8.602,0.2675,120541135.0,151441932.665
000001.SH,20100118,3237.098,3213.637,3238.242,3202.207,3224.152,12.946,0.4015,135067238.0,169760710.358
000001.SH,20100119,3246.874,3242.216,3268.806,3236.839,3237.098,9.776,0.302,129943532.0,162672571.501
000001.SH,20100120,3151.85,3252.037,3255.128,3148.334,3246.874,-95.024,-2.9266,158243112.0,192661666.821
000001.SH,20100121,3158.863,3154.189,3176.147,3126.902,3151.85,7.013,0.2225,114337079.0,142103163.04
000001.SH,20100122,3128.588,3118.724,3147.829,3062.629,3158.863,-30.275,-0.9584,137758538.0,163570680.34
000001.SH,20100125,3094.411,3103.32,3136.999,3092.926,3128.588,-34.177,-1.0924,78361862.0,95145982.252
000001.SH,20100126,3019.394,3094.848,3107.198,3001.956,3094.411,-75.017,-2.4243,93507092.0,109256964.462
000001.SH,20100127,2986.607,3020.54,3028.647,2972.627,3019.394,-32.787,-1.0859,76552214.0,90324580.783
000001.SH,20100128,2994.143,2985.214,3006.039,2963.891,2986.607,7.536,0.2523,73365767.0,85654271.668
000001.SH,20100129,2989.292,2979.743,3024.848,2968.453,2994.143,-4.851,-0.162,80475875.0,95656890.361
000001.SH,20100201,2941.36,2981.374,2981.374,2912.887,2989.292,-47.932,-1.6035,88147114.0,103760395.664
000001.SH,20100202,2934.713,2955.753,2990.748,2930.559,2941.36,-6.647,-0.226,82485789.0,97685864.7262
000001.SH,20100203,3003.835,2945.034,3005.131,2890.021,2934.713,69.122,2.3553,101022537.0,119046397.347
000001.SH,20100204,2995.308,2983.05,3015.126,2968.68,3003.835,-8.527,-0.2839,99918364.0,114601290.078
000001.SH,20100205,2939.402,2936.197,2959.233,2918.909,2995.308,-55.906,-1.8665,97274989.0,110882284.808
000001.SH,20100208,2935.174,2936.452,2954.266,2922.187,2939.402,-4.228,-0.1438,63299582.0,73159983.988
000001.SH,20100209,2948.842,2932.09,2957.474,2929.21,2935.174,13.668,0.4657,62282207.0,68112416.249
000001.SH,20100210,2982.5,2967.138,2983.179,2958.217,2948.842,33.658,1.1414,55588005.0,67017903.257
000001.SH,20100211,2985.499,2985.082,3001.636,2976.079,2982.5,2.999,0.1006,56646305.0,64892509.384
000001.SH,20100212,3018.133,2996.088,3018.858,2993.437,2985.499,32.634,1.0931,56092124.0,66931569.83
000001.SH,20100222,3003.398,3016.703,3026.659,3002.811,3018.133,-14.735,-0.4882,68505143.0,78744835.875
000001.SH,20100223,2982.575,2998.907,2998.907,2938.753,3003.398,-20.823,-0.6933,80392858.0,98223524.247
000001.SH,20100224,3022.177,2964.984,3023.739,2955.069,2982.575,39.602,1.3278,92918962.0,105568658.3542
000001.SH,20100225,3060.618,3026.656,3063.004,3022.373,3022.177,38.441,1.272,119670781.0,138961506.697
000001.SH,20100226,3051.943,3053.498,3067.525,3041.689,3060.618,-8.675,-0.2834,101296291.0,121468972.399
000001.SH,20100301,3087.842,3057.006,3093.095,3054.554,3051.943,35.899,1.1763,111038878.0,131301895.672
000001.SH,20100302,3073.108,3089.706,3095.992,3060.956,3087.842,-14.734,-0.4772,105327647.0,124558675.162
000001.SH,20100303,3097.005,3074.099,3098.456,3061.467,3073.108,23.897,0.7776,117156519.0,136522058.159
000001.SH,20100304,3023.373,3098.069,3102.398,3016.215,3097.005,-73.632,-2.3775,126383889.0,144939960.281
000001.SH,20100305,3031.065,3026.639,3044.165,3011.088,3023.373,7.692,0.2544,92259665.0,105764004.552
000001.SH,20100308,3053.232,3036.415,3058.832,3030.905,3031.065,22.167,0.7313,81011950.0,92751540.6
000001.SH,20100309,3069.141,3053.26,3084.85,3028.69,3053.232,15.909,0.5211,92381803.0,107489645.816
000001.SH,20100310,3048.927,3067.15,3085.994,3034.739,3069.141,-20.214,-0.6586,84612953.0,98755804.134
000001.SH,20100311,3051.282,3050.644,3070.935,3025.309,3048.927,2.355,0.0772,79872195.0,96185690.107
