date,000001.SZ,000725.SZ,000768.SZ,000858.SZ,002008.SZ,002304.SZ,002594.SZ,600016.SH,600036.SH,600104.SH,600111.SH,600660.SH,601601.SH,601628.SH,601788.SH
2022-07-27,0,-53,0,0,4,85,-69,21,0,100,68,88,55,0,100
2022-07-28,28,-100,76,0,-100,100,-77,-21,0,54,-100,73,100,0,-100
2022-07-29,-18,51,-3,100,94,68,-100,63,0,-49,100,-96,-6,28,0
2022-08-01,77,-29,100,46,93,-100,-63,100,100,-99,-49,-18,2,-28,49
2022-08-02,-68,-55,59,-20,-8,-41,5,-1,-60,56,55,-47,-84,0,100
2022-08-03,-19,74,67,-7,-100,63,100,15,-40,11,-52,0,68,0,-100
2022-08-04,0,72,100,0,100,-33,53,89,0,21,-100,0,-100,0,-49
2022-08-05,0,100,21,-100,32,-100,58,20,0,-67,100,0,31,0,100
2022-08-08,6,-100,11,100,-100,-42,100,-63,0,99,-77,0,33,15,-100
2022-08-09,-6,18,36,-23,-73,22,-24,-28,0,-33,-66,0,-99,-15,0
2022-08-10,100,-5,-100,-44,100,47,100,-91,0,98,91,100,0,100,33
2022-08-11,76,82,-34,-52,-34,100,100,100,100,-100,-86,-100,0,-100,7
2022-08-12,-80,18,-100,0,97,10,-28,-61,17,10,-100,100,0,0,-40
2022-08-15,-12,99,100,0,17,-100,-100,100,13,87,100,-100,100,0,16
2022-08-16,-46,-7,-13,8,61,9,84,61,-29,90,-19,0,8,0,0
2022-08-17,100,-100,80,100,-100,-59,21,-100,98,69,-71,81,100,77,4
2022-08-18,100,0,-100,-100,100,65,-97,-19,44,-100,26,78,-38,54,-20
2022-08-19,-81,84,81,57,-8,24,48,34,-47,11,-100,-43,88,-2,100
2022-08-22,29,-94,53,91,-34,90,-5,37,-2,-100,-26,-100,-42,-45,34
2022-08-23,12,-50,-8,42,-15,-100,-17,-52,77,-100,-100,95,25,-84,-97
2022-08-24,-82,-100,100,100,100,64,-40,100,44,-100,-4,-12,0,0,100
2022-08-25,-96,100,100,-35,-53,30,-94,100,100,17,-88,43,100,0,-100
2022-08-26,70,100,-82,-34,51,-62,33,-100,-56,-22,14,-100,21,0,-37
2022-08-29,100,-100,44,-23,94,-100,-21,100,69,-19,-100,-42,-17,0,79
2022-08-30,-22,36,56,100,12,100,-39,-31,36,71,100,0,100,35,-65
2022-08-31,100,33,-75,100,100,-13,81,-75,-100,-67,-41,0,-95,-35,-14
2022-09-01,-100,-70,100,100,-59,-100,6,-36,-6,-4,-25,0,-5,36,0
2022-09-02,100,-89,-4,100,-100,15,-100,-50,-100,44,100,61,19,31,0
2022-09-05,-100,-13,-80,56,-49,100,100,-35,100,-44,-30,-61,100,-67,0
2022-09-06,100,-100,0,100,-100,-100,100,-81,-96,93,-72,100,100,0,0
2022-09-07,-82,-100,83,10,-91,29,-2,-96,-7,91,-28,100,87,0,0
2022-09-08,15,-54,100,70,-14,100,-100,45,-64,-38,-20,34,100,60,100
2022-09-09,-97,-88,100,64,100,-10,-100,100,76,100,0,76,100,-60,100
2022-09-13,-100,68,-40,38,21,54,100,-100,100,79,0,-87,-100,28,8
2022-09-14,100,-68,56,100,-76,-68,100,-45,33,2,0,100,25,100,100
2022-09-15,31,0,100,-37,-100,-21,-63,100,95,-8,0,-37,100,-7,-100
2022-09-16,-55,0,84,51,-100,27,89,78,100,100,7,-57,44,23,-100
2022-09-19,100,0,-48,-100,0,-100,100,66,100,85,-7,-81,-90,100,21
2022-09-20,3,0,39,100,-32,100,-5,-67,-61,48,0,-73,44,22,100
2022-09-21,100,100,-95,100,44,100,36,-100,100,-54,0,-40,-100,-54,-100
2022-09-22,-22,89,100,21,-18,100,100,-32,100,-12,100,100,-100,94,76
2022-09-23,-27,100,100,38,100,-100,-65,-45,57,65,-100,-13,-22,-14,77
2022-09-26,-90,53,-52,-100,100,-12,62,0,100,6,67,100,100,-100,-21
2022-09-27,94,54,-22,100,18,-21,-100,32,-100,11,-67,5,-100,-74,100
2022-09-28,-100,-68,-100,100,-10,52,-65,100,-27,-17,0,-33,100,-60,15
2022-09-29,-9,100,17,82,-100,99,100,-66,30,43,0,18,100,78,100
2022-09-30,86,-100,1,95,-34,-10,99,-52,79,-67,0,-52,-95,90,-41
2022-10-10,31,100,-100,100,-78,-100,83,-14,16,-48,0,-73,46,-100,-61
2022-10-11,-100,21,100,87,42,100,100,84,-36,100,0,-7,-43,54,-99
2022-10-12,82,100,-2,-98,-40,74,-100,63,2,-7,0,6,100,-100,0
2022-10-13,-100,-100,-49,-63,39,-56,-97,-17,-17,9,0,0,100,80,-39
2022-10-14,-84,-10,96,100,0,-100,-28,-47,-35,-83,0,87,-100,-88,-42
2022-10-17,-44,-17,100,-27,-46,-37,-90,-70,100,-100,100,44,-51,62,32
2022-10-18,50,26,-100,-59,-6,83,61,-13,31,-81,-50,-100,100,-100,-3
2022-10-19,-50,-83,50,-10,-72,-6,1,0,-56,-81,43,-6,-100,100,-41
2022-10-20,0,-89,100,93,-46,-39,66,0,100,100,-22,-34,84,-72,-72
2022-10-21,0,100,100,87,-38,100,100,60,100,-50,-71,-77,-47,42,-100
2022-10-24,0,-45,-7,100,-100,1,100,90,100,-94,62,59,26,53,65
2022-10-25,0,-26,79,-100,-22,-62,100,31,-100,12,-62,81,-14,41,50
2022-10-26,100,-64,96,15,-22,-81,69,14,-19,-45,0,6,-12,-24,59
2022-10-27,-67,100,-100,-9,52,-34,-9,-100,-100,-48,34,-94,-75,100,86
2022-10-28,18,96,-34,7,85,100,-60,30,15,-73,-34,20,0,78,-56
