account_rewards,date
11429.74488999974,2021-10-19
22767.819700000342,2021-10-20
14987.71099000005,2021-10-21
19578.165459999815,2021-10-22
7728.290730000008,2021-10-25
-10233.292370000156,2021-10-26
-25262.331869999878,2021-10-27
-9216.452569999732,2021-10-28
-43993.29530000035,2021-10-29
-6415.842100000009,2021-11-01
-12475.021359999664,2021-11-02
35003.710789999925,2021-11-03
-3811.2220900002867,2021-11-04
11095.91908000037,2021-11-05
-5911.087420000229,2021-11-08
-21211.869580000173,2021-11-09
11417.243160000071,2021-11-10
-9721.792730000103,2021-11-11
-10136.370179999853,2021-11-12
12731.492619999917,2021-11-15
4989.548150000162,2021-11-16
-12128.387840000214,2021-11-17
12581.836000000127,2021-11-18
24783.94221000024,2021-11-19
-4868.734480000101,2021-11-22
18140.134999999776,2021-11-23
-9465.318350000074,2021-11-24
-4430.006359999767,2021-11-25
6459.95570000005,2021-11-26
-10197.908019999973,2021-11-29
1882.6868199999444,2021-11-30
8014.6768000002485,2021-12-01
11063.193539999658,2021-12-02
3370.06640000036,2021-12-03
923.3590799998492,2021-12-06
25419.86017,2021-12-07
24743.616059999913,2021-12-08
-9402.930709999986,2021-12-09
3443.0503399998415,2021-12-10
-9428.139959999826,2021-12-13
-14739.799999999814,2021-12-14
-2272.8100000002887,2021-12-15
-27550.75,2021-12-16
-6331.659999999683,2021-12-17
-973.3100000002887,2021-12-20
2129.7700000002515,2021-12-21
16380.279999999795,2021-12-22
7352.130000000121,2021-12-23
-13970.030000000028,2021-12-24
4811.190000000177,2021-12-27
-27206.570000000298,2021-12-28
-3584.5399999998044,2021-12-29
-6598.820000000065,2021-12-30
5683.799999999814,2021-12-31
-9535.869999999646,2022-01-04
-17543.980000000214,2022-01-05
1076.4899999999907,2022-01-06
-5167.879999999888,2022-01-07
-11209.050000000047,2022-01-10
21002.259999999776,2022-01-11
-20306.10999999987,2022-01-12
-12842.250000000233,2022-01-13
