account_rewards,date
5527.440249999869,2022-04-25
19961.83380999975,2022-04-26
9641.086170000257,2022-04-27
1142.1186700001126,2022-04-28
-840.3972500001546,2022-04-29
-24510.772660000017,2022-05-05
-3954.269009999931,2022-05-06
3430.7229300001636,2022-05-09
17117.33263999992,2022-05-10
749.486539999838,2022-05-11
3211.3698600003263,2022-05-12
-8672.790370000177,2022-05-13
14515.47060999996,2022-05-16
-6999.27434000012,2022-05-17
-1778.5133200000273,2022-05-18
31957.222080000094,2022-05-19
538.4936500000767,2022-05-20
-26989.938060000073,2022-05-23
6343.309999999823,2022-05-24
595.7074000000721,2022-05-25
3616.1053400001256,2022-05-26
27499.140370000037,2022-05-27
16650.93484,2022-05-30
-2426.648630000069,2022-05-31
7405.037399999914,2022-06-01
30766.729960000142,2022-06-02
-2074.665129999863,2022-06-06
32992.75990999979,2022-06-07
-7441.347879999899,2022-06-08
37520.55800999992,2022-06-09
-255.25496999989264,2022-06-10
6920.312069999869,2022-06-13
6349.595579999965,2022-06-14
-6646.820799999987,2022-06-15
7155.163800000097,2022-06-16
6765.139339999761,2022-06-17
-17746.35981999978,2022-06-20
-19468.27944000007,2022-06-21
20257.982970000012,2022-06-22
8006.951410000096,2022-06-23
14508.185949999955,2022-06-24
13882.408189999871,2022-06-27
-46501.45048999973,2022-06-28
26415.005649999715,2022-06-29
-5451.821119999862,2022-06-30
3504.8171500001336,2022-07-01
-12916.172850000206,2022-07-04
-9796.964989999775,2022-07-05
8816.472209999687,2022-07-06
-6327.582019999856,2022-07-07
-27908.132729999954,2022-07-08
-27046.584170000162,2022-07-11
8331.939590000198,2022-07-12
10924.309079999803,2022-07-13
12535.178360000253,2022-07-14
-1005.0035200000275,2022-07-15
-607.0080800000578,2022-07-18
71.71764000004623,2022-07-19
-2254.279650000157,2022-07-20
1588.3275600000052,2022-07-21
-4306.672899999889,2022-07-22
1035.5339999998687,2022-07-25
