account_value,date,daily_return
1207057.05922,2021-07-13,
1174696.0597599999,2021-07-14,-0.026809834061126914
1180650.21306,2021-07-15,0.005068675637863729
1165511.35909,2021-07-16,-0.012822471721546824
1173770.1799899999,2021-07-19,0.0070860063572852905
1180911.89847,2021-07-20,0.00608442657834507
1206306.31571,2021-07-21,0.02150407432840784
1216115.62371,2021-07-22,0.008131689167379053
1209767.3974899997,2021-07-23,-0.005220084419797044
1146531.53069,2021-07-26,-0.05227109519664708
1092056.7510699998,2021-07-27,-0.04751267467299081
1096340.7441,2021-07-28,0.0039228666695232395
1134799.8207199997,2021-07-29,0.03507949223539186
1129424.9565199998,2021-07-30,-0.004736398527618535
1200815.5661499999,2021-08-02,0.06320969730469739
1181702.6379799999,2021-08-03,-0.01591662259282578
1223270.53766,2021-08-04,0.035176277300231984
1194108.12396,2021-08-05,-0.023839709044071955
1200485.7028,2021-08-06,0.0053408721639462975
1191352.8128,2021-08-09,-0.007607662447539965
1222316.4828,2021-08-10,0.02599034447841464
1227587.5118399998,2021-08-11,0.00431232754705646
1225901.62453,2021-08-12,-0.0013733337083829955
1220818.83279,2021-08-13,-0.004146166085674863
1186228.7075099999,2021-08-16,-0.028333544954372458
1152961.75829,2021-08-17,-0.02804429618789961
1172828.6104999997,2021-08-18,0.01723114584430352
1171216.3204999997,2021-08-19,-0.0013747021393967218
1136827.7804999996,2021-08-20,-0.02936139071672028
1157483.6704999998,2021-08-23,0.018169761818201957
1178289.1448199998,2021-08-24,0.017974745432920658
1187263.21921,2021-08-25,0.007616190329387429
1146993.2692099998,2021-08-26,-0.03391829995946105
1158158.6192099997,2021-08-27,0.009734451194896687
1156462.3292099999,2021-08-30,-0.0014646439372499875
1161375.62198,2021-08-31,0.0042485540997747595
1156555.36198,2021-09-01,-0.004150474582704011
1155781.3827399998,2021-09-02,-0.0006692107143709825
1134275.5448799997,2021-09-03,-0.01860718487177604
1176183.8148799997,2021-09-06,0.03694716878025761
1197020.4248799998,2021-09-07,0.017715436767956172
1177166.5090799998,2021-09-08,-0.01658611280754918
1189457.7406,2021-09-09,0.010441370379799642
1204875.6940299997,2021-09-10,0.012962169990354155
1181592.11221,2021-09-13,-0.019324468022192454
1172122.1856400003,2021-09-14,-0.008014547890208501
1141029.20233,2021-09-15,-0.026527083687118314
1116208.10233,2021-09-16,-0.02175325570048081
1119265.9121299998,2021-09-17,0.002739462107125945
1087558.29576,2021-09-22,-0.0283289395543721
1094635.6542699996,2021-09-23,0.006507567031203587
1098511.9279899998,2021-09-24,0.0035411542688925657
1122132.35216,2021-09-27,0.02150220090301591
1112546.88828,2021-09-28,-0.00854218654470551
1097500.8443699998,2021-09-29,-0.013523963860311072
1116016.0341899998,2021-09-30,0.01687031943071382
1143773.4539599998,2021-10-08,0.024871882589165617
1155585.8982099998,2021-10-11,0.010327608329343985
1150221.6482099998,2021-10-12,-0.004642017532672571
1190407.40821,2021-10-13,0.03493740537968337
1185350.7773499996,2021-10-14,-0.004247815348867756
1188598.81167,2021-10-15,0.0027401461087002144
1145940.0116700002,2021-10-18,-0.03588999045023744
