account_rewards,date
9212.090140000219,2022-01-17
-13269.370650000172,2022-01-18
14969.189689999912,2022-01-19
3510.265040000202,2022-01-20
-6456.590670000063,2022-01-21
-31301.64023999963,2022-01-24
5534.3996199995745,2022-01-25
-19708.59535999992,2022-01-26
-28228.614109999966,2022-01-27
12015.29824999976,2022-01-28
-12910.12026999984,2022-02-07
21693.492120000068,2022-02-08
-4501.733949999791,2022-02-09
14263.368459999794,2022-02-10
2395.024399999995,2022-02-11
6391.055810000049,2022-02-14
2207.8176700000186,2022-02-15
-6257.5298800000455,2022-02-16
5108.92015999998,2022-02-17
-2820.276060000062,2022-02-18
-23763.08878999995,2022-02-21
11883.347429999849,2022-02-22
-37533.73190000001,2022-02-23
8297.76900999993,2022-02-24
-3150.302939999732,2022-02-25
14134.545989999897,2022-02-28
-17674.67493999994,2022-03-01
-29671.894319999963,2022-03-02
-24598.673400000087,2022-03-03
-48749.52003999986,2022-03-04
-10736.094240000122,2022-03-07
-19458.185629999964,2022-03-08
36117.46114000003,2022-03-09
400.4687299999641,2022-03-10
-26392.197389999987,2022-03-11
-48321.9702199999,2022-03-14
39952.33210999961,2022-03-15
17919.68930000032,2022-03-16
2567.1157699999167,2022-03-17
-11762.743550000014,2022-03-18
-5687.788249999983,2022-03-21
4887.010789999971,2022-03-22
-19368.374379999936,2022-03-23
-19506.002600000007,2022-03-24
-24348.740280000144,2022-03-25
-11680.140549999662,2022-03-28
38641.40926999983,2022-03-29
-8433.258380000014,2022-03-30
24238.841019999934,2022-03-31
-160.09016000002157,2022-04-01
-3380.5023099998944,2022-04-06
3408.4388899999904,2022-04-07
-36256.86809,2022-04-08
47167.3881000001,2022-04-11
-8927.199850000208,2022-04-12
36214.233540000045,2022-04-13
-8440.423049999983,2022-04-14
-15991.008509999956,2022-04-15
-8532.730180000188,2022-04-18
-3703.7199999998556,2022-04-19
-15657.499500000034,2022-04-20
12461.33386000013,2022-04-21
