date,000069.SZ,002007.SZ,002241.SZ,600031.SH,600085.SH,600519.SH,600585.SH,601186.SH,601225.SH,601318.SH,601328.SH,601398.SH,601668.SH,601800.SH,601888.SH
2021-07-13,0,-36,1,100,100,0,-100,2,0,0,0,1,-81,-100,0
2021-07-14,0,-19,-100,-57,-64,0,-100,26,0,0,0,0,-37,-23,44
2021-07-15,0,43,-1,-53,-36,2,-93,0,100,0,0,0,-7,-60,0
2021-07-16,-100,0,-100,4,0,0,-80,-28,0,0,0,-4,-100,-100,33
2021-07-19,100,0,-100,100,0,0,-100,100,79,52,0,100,-100,3,0
2021-07-20,-46,100,-35,100,0,-2,-100,99,0,2,79,-52,-48,-6,8
2021-07-21,-92,-13,-8,4,0,0,-100,-81,0,0,4,0,-100,0,22
2021-07-22,-52,-100,0,0,0,0,-1,0,0,88,0,-48,0,-100,0
2021-07-23,0,0,0,0,0,0,-100,0,0,0,0,0,-56,38,14
2021-07-26,3,0,-100,4,0,0,-31,-4,0,0,0,0,-4,0,19
2021-07-27,-13,-100,-58,0,0,0,0,0,-100,-40,0,21,-100,0,37
2021-07-28,0,-20,0,0,0,0,-100,0,0,-33,28,-43,0,-100,27
2021-07-29,-51,-28,0,0,0,0,-100,1,12,0,-100,-42,-70,0,22
2021-07-30,-100,0,0,0,0,0,-100,0,-24,0,44,0,-18,0,18
2021-08-02,0,-55,-15,-28,0,0,-40,0,0,-53,-34,0,-100,3,35
2021-08-03,-71,-2,-100,0,0,0,-100,-6,0,4,1,-72,-9,-100,36
2021-08-04,0,-13,-100,100,0,3,-100,38,100,-20,1,100,-100,0,0
2021-08-05,0,0,-53,0,0,-3,-100,0,14,0,-23,-100,-100,-51,49
2021-08-06,-90,-100,0,7,0,6,-100,3,-100,0,0,-28,-70,-72,0
2021-08-09,0,0,-82,1,0,-6,-100,0,0,0,0,-100,-22,0,70
2021-08-10,0,-100,-70,0,0,0,-100,24,-81,0,0,-76,-38,0,45
2021-08-11,0,0,-77,-30,0,0,-100,0,0,0,0,-100,16,0,33
2021-08-12,0,0,0,0,0,0,-100,0,7,0,0,0,-100,-51,19
2021-08-13,0,0,-38,0,0,0,-55,0,0,0,0,0,25,-100,17
2021-08-16,0,9,100,-16,0,0,-100,100,0,0,100,-100,0,-29,-1
2021-08-17,0,0,0,-45,0,0,0,0,0,0,-12,-44,0,12,6
2021-08-18,0,-50,-11,-15,0,0,0,-100,0,0,1,-5,-60,26,15
2021-08-19,0,-51,0,0,0,0,0,0,0,0,-5,37,-94,-100,12
2021-08-20,0,-14,0,-91,0,0,0,0,20,0,0,-100,-82,-62,18
2021-08-23,-14,1,-25,-60,0,0,0,100,0,46,2,-74,0,0,0
2021-08-24,0,-100,0,0,0,0,0,0,0,-46,-86,21,0,-100,29
2021-08-25,0,-32,-71,0,0,0,0,0,20,0,0,-71,-100,-34,20
2021-08-26,0,-38,0,0,0,0,0,0,-19,0,0,0,42,-82,8
2021-08-27,0,-86,-100,-12,0,0,0,0,-28,0,0,-65,2,-6,35
2021-08-30,3,0,0,0,0,0,0,0,0,3,0,0,0,-92,2
2021-08-31,-99,-71,-84,100,0,0,0,100,3,77,0,-27,-11,-61,0
2021-09-01,-21,-100,0,0,0,0,0,-37,1,71,100,-54,-45,-24,0
2021-09-02,1,-43,-77,0,0,0,0,0,0,0,-10,0,-100,6,24
2021-09-03,0,0,-95,0,0,0,0,-66,0,-15,1,0,-30,0,25
2021-09-06,1,-4,0,1,0,0,0,0,0,-95,-28,0,-13,-100,25
2021-09-07,0,-31,0,-36,0,0,0,0,-4,-25,46,-100,0,-94,18
2021-09-08,0,0,-59,0,0,0,0,0,2,4,0,0,0,-44,13
2021-09-09,-100,-43,-26,0,0,0,0,0,0,-20,1,-100,-100,13,21
2021-09-10,0,0,-46,0,0,0,0,1,0,0,0,0,0,-14,9
2021-09-13,0,0,-100,0,0,0,0,0,-2,0,0,48,0,-100,22
2021-09-14,1,0,-37,2,0,0,0,-3,0,0,1,-100,-12,0,9
2021-09-15,1,-100,0,0,0,0,0,0,0,0,0,-83,0,11,13
2021-09-16,1,-100,-24,0,0,0,0,-39,3,0,0,0,0,0,17
2021-09-17,0,2,-74,0,0,0,0,0,-3,0,0,3,-90,-60,17
2021-09-22,1,-59,0,94,0,0,0,0,1,0,-47,100,-54,-89,0
2021-09-23,3,0,0,0,0,0,0,-40,0,3,-64,0,0,0,2
2021-09-24,-100,-58,0,0,0,0,0,6,0,0,0,-35,-100,0,12
2021-09-27,0,-35,-100,-39,0,0,0,0,-1,-3,0,0,1,10,25
2021-09-28,-23,-88,-100,68,0,0,0,100,0,38,0,-88,100,-95,12
2021-09-29,0,0,-35,0,0,0,0,-75,15,0,2,-29,-100,-100,14
2021-09-30,0,0,0,1,0,0,0,-10,-15,-20,-2,-11,0,0,5
2021-10-08,-84,-16,0,-100,0,0,0,-100,0,0,0,-100,-36,30,18
2021-10-11,2,17,0,0,0,0,0,100,0,-18,100,1,0,-100,0
2021-10-12,0,-49,1,0,0,0,0,0,0,0,-17,-84,0,0,7
2021-10-13,-100,-13,0,0,0,0,0,0,0,0,13,0,0,-3,4
2021-10-14,-23,0,-1,0,0,0,0,-81,0,0,-52,1,0,31,3
2021-10-15,0,-90,0,-88,0,0,0,16,0,0,-44,-39,1,-31,20
