account_rewards,date
-1064.3409999998985,2021-04-09
-5565.324999999953,2021-04-12
7539.433999999892,2021-04-13
-2391.0939999999246,2021-04-14
1418.4919999999693,2021-04-15
8359.199000000022,2021-04-16
-825.2019999998156,2021-04-19
4487.908999999985,2021-04-20
-750.6579999998212,2021-04-21
3431.420000000042,2021-04-22
-1511.9280000000726,2021-04-23
9527.205000000075,2021-04-26
3785.407000000123,2021-04-27
-553.8880000000354,2021-04-28
-1084.8519999999553,2021-04-29
-32097.783000000054,2021-04-30
-17948.780000000028,2021-05-06
18259.273000000045,2021-05-07
-3695.743999999948,2021-05-10
8452.447999999975,2021-05-11
-16761.14644000004,2021-05-12
37214.625,2021-05-13
25299.839999999967,2021-05-14
-4531.639999999898,2021-05-17
20454.23999999999,2021-05-18
-2400.679999999935,2021-05-19
-19331.12000000011,2021-05-20
10367.709999999963,2021-05-21
45073.570000000065,2021-05-24
-2642.4899999999907,2021-05-25
12969.229999999981,2021-05-26
-5886.040000000037,2021-05-27
-19480.030000000028,2021-05-28
3170.1500000001397,2021-05-31
-25627.12000000011,2021-06-01
401.2600000000093,2021-06-02
-15699.339999999967,2021-06-03
-5681.099999999977,2021-06-04
131.45999999996275,2021-06-07
-9847.719999999972,2021-06-08
-1707.6100000001024,2021-06-09
-10658.300000000047,2021-06-10
-27008.519999999902,2021-06-11
-22885.55999999994,2021-06-15
-12714.25,2021-06-16
2832.3399999999674,2021-06-17
-9471.30999999994,2021-06-18
11469.589999999851,2021-06-21
23963.080000000075,2021-06-22
-7014.290000000037,2021-06-23
9561.890000000014,2021-06-24
25577.23999999999,2021-06-25
-19930.679999999935,2021-06-28
-3209.8099999999395,2021-06-29
1435.1599999999162,2021-06-30
-49830.23999999999,2021-07-01
-1688.7299999999814,2021-07-02
5197.439999999944,2021-07-05
-15468.850000000093,2021-07-06
-18452.009999999893,2021-07-07
-13021.609999999986,2021-07-08
45920.669999999925,2021-07-09
