account_rewards,date
593.6849899999797,2021-10-19
-8009.7517000000225,2021-10-20
38065.1712000001,2021-10-21
-15191.989339999971,2021-10-22
929.1843799998751,2021-10-25
-23363.672729999875,2021-10-26
16878.421019999892,2021-10-27
12617.530140000046,2021-10-28
-83414.04347000003,2021-10-29
-60181.81937000004,2021-11-01
17062.946210000082,2021-11-02
16662.716140000033,2021-11-03
-8001.920210000011,2021-11-04
-4749.8705299999565,2021-11-05
-6778.907760000089,2021-11-08
-2306.4469699998153,2021-11-09
7435.577269999892,2021-11-10
-17510.970220000134,2021-11-11
19119.66926000011,2021-11-12
11835.793609999935,2021-11-15
-10444.754099999904,2021-11-16
-20210.49748000002,2021-11-17
4952.270130000077,2021-11-18
-4920.139190000133,2021-11-19
-5372.869749999954,2021-11-22
2265.6678799999645,2021-11-23
-23091.099369999953,2021-11-24
-3073.2576300000073,2021-11-25
-19141.672919999924,2021-11-26
1963.063739999896,2021-11-29
-5594.101069999975,2021-11-30
-1692.3847800000804,2021-12-01
8034.551180000068,2021-12-02
21557.66723000002,2021-12-03
5297.746930000023,2021-12-06
10462.863580000005,2021-12-07
34644.20052000007,2021-12-08
1621.1165699999547,2021-12-09
2330.938689999981,2021-12-10
-3373.5294800000265,2021-12-13
-13003.693169999984,2021-12-14
5699.603619999951,2021-12-15
-21118.949840000016,2021-12-16
-13081.012259999872,2021-12-17
6413.151559999911,2021-12-20
-5852.046990000061,2021-12-21
233.63531000015792,2021-12-22
18648.727339999983,2021-12-23
5633.590559999924,2021-12-24
5434.422520000138,2021-12-27
-18452.77436000004,2021-12-28
4302.134579999954,2021-12-29
6916.780880000093,2021-12-30
-7113.507120000082,2021-12-31
-382.15087999997195,2022-01-04
-4943.404139999882,2022-01-05
-3162.4847800001735,2022-01-06
-1359.7828799998388,2022-01-07
-13043.346190000186,2022-01-10
21194.029940000153,2022-01-11
-20237.538189999992,2022-01-12
-17507.651650000014,2022-01-13
