account_value,date,daily_return
702390.0807000007,2022-01-17,
707918.4602000009,2022-01-18,0.007870810895408198
708689.0644500008,2022-01-19,0.0010885494492998138
724948.1681200009,2022-01-20,0.02294250678556531
733949.3226200008,2022-01-21,0.012416273184526538
742102.4610700009,2022-01-24,0.011108585019052208
735728.524850001,2022-01-25,-0.008589024500484266
738806.0093000007,2022-01-26,0.0041829076161308265
730598.1445300007,2022-01-27,-0.011109634554511416
719744.4759200009,2022-01-28,-0.01485586665017069
729244.6949700008,2022-02-07,0.013199433087494494
725409.1051300009,2022-02-08,-0.0052596746557856955
737478.2206300009,2022-02-09,0.016637667510166043
748159.7425600009,2022-02-10,0.01448384729365304
744823.6556300009,2022-02-11,-0.00445905699040261
744345.909760001,2022-02-14,-0.0006414214510893634
745439.1106400008,2022-02-15,0.001468673187647651
748207.8934300009,2022-02-16,0.00371429772127585
745504.1912100008,2022-02-17,-0.00361357083203917
754800.3717900009,2022-02-18,0.012469655690213965
745342.0776600009,2022-02-21,-0.01253085515521124
724665.7736700008,2022-02-22,-0.027740690630150944
728072.652060001,2022-02-23,0.004701309919394214
705691.9948700009,2022-02-24,-0.03073959326267317
712116.9048700009,2022-02-25,0.00910441105568105
708634.744870001,2022-02-28,-0.004889871278418223
729073.6648700009,2022-03-01,0.028842672685699844
724484.1548700009,2022-03-02,-0.006294988039128202
715204.6948700009,2022-03-03,-0.012808368461371011
705373.4148700009,2022-03-04,-0.013746106632852917
684519.9248700009,2022-03-07,-0.02956375950721546
688863.154870001,2022-03-08,0.006344928529034233
691494.944870001,2022-03-09,0.0038204830399104495
695925.444870001,2022-03-10,0.006407132883426758
690729.1648700009,2022-03-11,-0.007466719371025166
668039.094870001,2022-03-14,-0.03284944541797408
629412.754870001,2022-03-15,-0.05782047831724069
654343.584870001,2022-03-16,0.03960966759427875
672070.1448700011,2022-03-17,0.02709059951053372
673724.584870001,2022-03-18,0.0024617073271717693
671484.6748700008,2022-03-21,-0.003324667156731964
670660.5548700009,2022-03-22,-0.0012273102139813696
684221.5748700011,2022-03-23,0.0202203930162983
675330.1248700009,2022-03-24,-0.012994986312276913
666697.764870001,2022-03-25,-0.01278242992886125
664087.3048700009,2022-03-28,-0.0039155073521344175
665979.764870001,2022-03-29,0.002849715671602082
686543.3148700009,2022-03-30,0.030877139343736593
687157.114870001,2022-03-31,0.0008940440999214427
703881.584870001,2022-04-01,0.02433864052060919
703778.674870001,2022-04-06,-0.0001462035691968122
702267.6548700009,2022-04-07,-0.0021470102092525645
713956.304870001,2022-04-08,0.016644152580491456
694272.8548700009,2022-04-11,-0.027569544334487217
710538.0948700011,2022-04-12,0.023427734335149664
703833.854870001,2022-04-13,-0.009435440616631152
719280.404870001,2022-04-14,0.021946301521476252
714874.364870001,2022-04-15,-0.006125622177621248
707236.5248700009,2022-04-18,-0.010684171059048952
704924.8348700008,2022-04-19,-0.0032686236056953533
700507.874870001,2022-04-20,-0.00626585953779657
692315.734870001,2022-04-21,-0.01169457231515103
694227.054870001,2022-04-22,0.002760763483671269
