date,000069.SZ,002007.SZ,002241.SZ,600031.SH,600085.SH,600519.SH,600585.SH,601186.SH,601225.SH,601318.SH,601328.SH,601398.SH,601668.SH,601800.SH,601888.SH
2022-01-17,0,0,0,79,-100,12,100,0,100,-100,100,100,-100,-100,-100
2022-01-18,0,0,0,13,-100,10,100,-8,100,-1,100,100,-100,-100,-100
2022-01-19,1,0,0,28,-100,9,100,0,100,0,100,100,-100,-34,-100
2022-01-20,2,0,0,22,-100,9,100,0,100,0,100,100,-100,0,-100
2022-01-21,2,0,0,29,-100,9,100,-31,100,0,100,100,-15,0,-100
2022-01-24,2,0,0,10,-100,10,100,-99,100,0,100,100,0,0,-100
2022-01-25,2,0,0,48,-77,9,100,-99,100,0,100,100,0,0,-100
2022-01-26,1,0,0,69,0,7,100,-100,100,0,100,100,0,0,-100
2022-01-27,0,0,0,57,0,7,100,-100,100,0,100,100,0,0,-100
2022-01-28,1,0,0,6,0,8,100,-90,100,0,100,100,0,0,-100
2022-02-07,1,0,0,71,0,7,100,0,100,0,100,100,0,0,-100
2022-02-08,0,0,0,74,0,7,100,0,100,0,100,100,0,0,-100
2022-02-09,2,0,0,65,0,7,100,0,100,0,100,100,0,0,-100
2022-02-10,2,0,0,29,0,8,100,0,100,0,100,100,0,0,-100
2022-02-11,1,0,0,42,0,8,100,0,100,0,100,100,0,0,-100
2022-02-14,0,0,0,56,0,8,100,0,100,0,100,100,0,0,-100
2022-02-15,0,0,0,27,0,8,100,0,100,0,100,100,0,0,-100
2022-02-16,1,0,0,30,0,8,100,0,100,0,100,100,0,0,-100
2022-02-17,0,0,0,14,0,8,100,0,100,0,100,100,0,0,-100
2022-02-18,1,0,0,2,0,8,100,0,100,0,100,100,0,0,-100
2022-02-21,0,0,0,77,0,7,100,0,100,0,100,100,0,0,-100
2022-02-22,1,0,0,82,0,7,100,0,100,0,100,100,0,0,-100
2022-02-23,1,0,0,86,0,0,100,0,100,0,100,100,0,0,-40
2022-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
