date,000069.SZ,002007.SZ,002241.SZ,600031.SH,600085.SH,600519.SH,600585.SH,601186.SH,601225.SH,601318.SH,601328.SH,601398.SH,601668.SH,601800.SH,601888.SH
2022-04-25,-28,-11,0,-31,0,0,-100,0,-100,0,13,-41,0,0,36
2022-04-26,100,-100,-5,100,0,-47,100,100,-2,33,41,-100,19,46,-36
2022-04-27,-13,100,-2,92,0,35,40,100,-6,-33,-79,88,36,-44,76
2022-04-28,25,-100,100,84,2,3,35,67,87,0,93,10,77,-2,-76
2022-04-29,-100,0,0,56,-2,3,-78,0,-66,0,1,-9,-30,0,0
2022-05-05,100,100,9,-42,100,-100,100,36,-11,0,-19,-100,100,0,0
2022-05-06,-76,40,-100,-64,-91,100,29,16,-68,0,-100,-100,-100,57,0
2022-05-09,-85,-97,49,-100,-9,1,-20,-61,-27,100,-1,72,35,-49,0
2022-05-10,100,-18,-8,-28,0,0,-80,21,75,-100,-100,-100,100,100,0
2022-05-11,0,-75,0,0,0,7,-100,0,-32,9,-48,-100,-12,2,0
2022-05-12,0,0,-57,-99,0,0,-15,0,-100,0,16,-49,-100,-67,42
2022-05-13,83,49,-100,-68,0,-46,100,61,-100,-9,94,100,-30,-43,84
2022-05-16,100,-26,-1,20,0,24,100,-100,-18,100,16,-100,-28,0,100
2022-05-17,-100,-61,5,56,0,7,-76,-42,-62,-100,-82,-21,-67,0,-6
2022-05-18,-52,0,100,0,0,0,-100,-51,-79,0,-35,-30,17,100,8
2022-05-19,-26,0,0,17,0,0,0,100,-100,0,-56,3,0,100,0
2022-05-20,0,0,0,0,0,0,-27,0,-100,0,-12,0,4,-15,17
2022-05-23,5,0,37,0,0,10,-20,0,-77,0,1,-34,100,-83,-100
2022-05-24,-100,100,-36,35,0,-87,100,-71,1,0,-100,69,100,75,-24
2022-05-25,100,100,100,-100,0,-100,89,-100,55,0,-71,9,100,-77,100
2022-05-26,100,6,100,100,0,-62,100,-62,-49,0,100,100,-100,-2,-25
2022-05-27,48,4,-80,100,0,100,-51,-14,100,80,-100,88,-62,-61,-100
2022-05-30,-32,10,100,-100,0,-16,36,0,-82,-20,-100,38,46,8,47
2022-05-31,100,59,100,5,35,100,-32,0,100,-60,43,45,77,39,87
2022-06-01,100,100,10,-20,100,-36,-44,0,14,25,-29,49,69,100,-100
2022-06-02,71,-72,0,-100,-50,89,0,39,-31,-25,33,-30,17,64,-100
2022-06-06,100,-24,16,100,100,-65,-100,98,-21,73,-100,-10,100,-100,100
2022-06-07,-93,16,-89,0,-100,58,-100,-85,0,0,0,0,-41,1,-5
2022-06-08,-100,17,26,-68,57,-100,-100,-52,-71,49,73,0,-1,89,-72
2022-06-09,-19,-36,-35,47,-21,100,11,0,-60,-72,4,-26,-100,27,100
2022-06-10,-36,-32,53,2,55,-17,-91,0,-83,58,-42,-100,91,-47,-100
2022-06-13,-3,-100,-95,100,77,30,86,0,-9,33,2,-4,-24,-100,-36
2022-06-14,61,100,0,-100,0,0,100,100,15,-44,4,0,-7,-9,-17
2022-06-15,100,1,100,-100,-33,-14,60,-43,100,-97,-100,-100,-8,92,16
2022-06-16,-70,-100,-100,-38,-73,17,48,-5,100,0,-90,-100,0,-100,0
2022-06-17,-62,-78,0,2,98,0,-100,0,100,0,-11,0,-100,-100,0
2022-06-20,55,18,18,7,26,-80,11,80,32,57,52,74,-22,100,50
2022-06-21,-60,19,100,-20,-21,-43,100,-70,-100,76,71,14,-100,-21,51
2022-06-22,-25,21,43,-100,64,-78,88,71,-100,66,-70,-43,-15,-19,100
2022-06-23,-34,-31,59,9,24,42,-47,-97,22,-18,5,100,28,-13,34
2022-06-24,-13,-98,-2,9,-89,-51,-99,-36,-81,79,11,22,-100,7,-100
2022-06-27,5,0,7,-17,-32,100,100,100,100,30,44,13,12,-55,4
2022-06-28,1,0,-85,100,25,80,-14,-92,100,0,100,-100,100,1,-12
2022-06-29,0,0,-82,47,-63,2,47,13,0,-9,21,-100,-84,-1,3
2022-06-30,76,82,-100,-40,75,0,5,-21,-100,-100,100,-22,-52,0,19
2022-07-01,1,0,-100,100,1,0,0,0,0,0,96,100,-45,65,0
2022-07-04,25,-59,100,-60,-100,-66,17,100,-26,-69,41,-93,0,33,-100
2022-07-05,100,96,-4,100,11,-62,100,-42,-100,89,-67,-100,0,-32,0
2022-07-06,-15,23,2,34,-19,19,23,100,-69,-56,72,-23,100,87,28
2022-07-07,-41,52,-100,100,-100,76,82,-15,72,-74,38,100,39,-95,-9
2022-07-08,84,-100,60,10,-47,39,8,-67,100,-71,-100,-1,-100,-58,80
2022-07-11,-94,-31,-78,-100,0,-56,-48,15,16,54,-45,-52,5,25,75
2022-07-12,39,-63,-83,92,100,-100,15,-91,30,29,73,-34,-44,74,100
2022-07-13,-11,0,-100,-100,-93,100,66,49,-38,100,92,29,100,100,-100
2022-07-14,0,0,100,-14,-7,38,11,100,60,100,-62,-100,-82,-100,54
2022-07-15,-1406,0,-125,-2454,0,-206,-3582,-149,-1611,-283,-2910,-1954,-18,-99,-293
2022-07-18,0,0,0,0,100,0,16,0,72,49,80,0,0,32,84
2022-07-19,0,37,0,15,-100,29,-16,0,-17,20,100,72,100,100,-65
2022-07-20,100,-37,0,-6,0,64,0,29,100,-69,100,100,31,-100,-19
2022-07-21,79,0,100,-9,0,100,100,-19,100,0,100,-47,-24,72,0
2022-07-22,-12,0,100,11,40,100,-21,66,100,18,-43,-99,-5,-73,0
2022-07-25,-20,0,5,-11,-40,59,-69,2,100,0,-19,-17,100,0,0
