account_rewards,date
5528.3795000001555,2022-01-17
770.6042499998584,2022-01-18
16259.103670000099,2022-01-19
9001.154499999946,2022-01-20
8153.138450000086,2022-01-21
-6373.936219999916,2022-01-24
3077.484449999756,2022-01-25
-8207.864769999986,2022-01-26
-10853.668609999819,2022-01-27
9500.21904999984,2022-01-28
-3835.5898399999132,2022-02-07
12069.115500000073,2022-02-08
10681.52192999993,2022-02-09
-3336.0869299999904,2022-02-10
-477.74586999986786,2022-02-11
1093.2008799997857,2022-02-14
2768.782790000085,2022-02-15
-2703.702220000094,2022-02-16
9296.18058000016,2022-02-17
-9458.294130000053,2022-02-18
-20676.303990000044,2022-02-21
3406.8783900002018,2022-02-22
-22380.657190000173,2022-02-23
6424.910000000033,2022-02-24
-3482.159999999916,2022-02-25
20438.919999999925,2022-02-28
-4589.510000000009,2022-03-01
-9279.459999999963,2022-03-02
-9831.280000000028,2022-03-03
-20853.48999999999,2022-03-04
4343.230000000098,2022-03-07
2631.7900000000373,2022-03-08
4430.5,2022-03-09
-5196.280000000144,2022-03-10
-22690.06999999995,2022-03-11
-38626.33999999997,2022-03-14
24930.829999999958,2022-03-15
17726.560000000172,2022-03-16
1654.4399999998277,2022-03-17
-2239.910000000149,2022-03-18
-824.1199999998789,2022-03-21
13561.020000000135,2022-03-22
-8891.450000000186,2022-03-23
-8632.35999999987,2022-03-24
-2610.460000000079,2022-03-25
1892.4600000000792,2022-03-28
20563.54999999993,2022-03-29
613.8000000000466,2022-03-30
16724.469999999972,2022-03-31
-102.90999999991618,2022-04-01
-1511.020000000135,2022-04-06
11688.65000000014,2022-04-07
-19683.450000000186,2022-04-08
16265.240000000224,2022-04-11
-6704.240000000107,2022-04-12
15446.550000000047,2022-04-13
-4406.040000000037,2022-04-14
-7637.840000000084,2022-04-15
-2311.6900000000605,2022-04-18
-4416.959999999846,2022-04-19
-8192.140000000014,2022-04-20
1911.3200000000652,2022-04-21
