account_rewards,date
-7281.697430000058,2022-07-27
-231.35086999996565,2022-07-28
-2463.9542699999874,2022-07-29
-4112.263320000144,2022-08-01
1577.0200000000186,2022-08-02
10989.505160000059,2022-08-03
2910.5500000000466,2022-08-04
-3833.079999999958,2022-08-05
-468.199999999837,2022-08-08
-12254.160000000382,2022-08-09
11627.080000000307,2022-08-10
7956.589999999851,2022-08-11
-2897.5699999998324,2022-08-12
-715.7600000002421,2022-08-15
373.64999999990687,2022-08-16
-8043.8099999999395,2022-08-17
-116.1899999998277,2022-08-18
156.8399999999674,2022-08-19
-8358.760000000126,2022-08-22
-6057.79999999993,2022-08-23
11687.490000000107,2022-08-24
3908.4899999999907,2022-08-25
-6471.300000000047,2022-08-26
-3990.5400000001537,2022-08-29
19099.230000000214,2022-08-30
-14619.740000000224,2022-08-31
-2095.569999999949,2022-09-01
-13431.279999999795,2022-09-02
3831.4299999998184,2022-09-05
-9456.539999999804,2022-09-06
-1281.9200000002747,2022-09-07
10716.500000000116,2022-09-08
11825.170000000042,2022-09-09
-3700.640000000014,2022-09-13
3954.4000000000233,2022-09-14
-8514.260000000126,2022-09-15
4643.300000000047,2022-09-16
1912.3699999999953,2022-09-19
-10846.94000000006,2022-09-20
-9348.299999999814,2022-09-21
4297.5,2022-09-22
9720.549999999697,2022-09-23
8967.150000000373,2022-09-26
-2255.359999999986,2022-09-27
-721.2400000001071,2022-09-28
-2936.240000000107,2022-09-29
-30564.77999999991,2022-09-30
-2452.1600000000326,2022-10-10
-6841.84999999986,2022-10-11
-21662.820000000298,2022-10-12
13683.910000000149,2022-10-13
-6851.539999999921,2022-10-14
-4592.960000000196,2022-10-17
-20457.569999999832,2022-10-18
-1670.2399999998743,2022-10-19
-6814.190000000293,2022-10-20
-43784.56999999995,2022-10-21
-7808.819999999949,2022-10-24
-5571.759999999893,2022-10-25
-21919.690000000002,2022-10-26
-14887.860000000044,2022-10-27
-4387.089999999967,2022-10-28
