account_rewards,date
4990.892729999963,2022-04-25
22279.180010000127,2022-04-26
15790.657659999677,2022-04-27
225.805220000213,2022-04-28
2455.4633600000525,2022-04-29
-13652.663090000045,2022-05-05
-12003.846920000156,2022-05-06
2907.916270000045,2022-05-09
240.8834799999604,2022-05-10
-4187.153019999969,2022-05-11
7170.794000000111,2022-05-12
-3126.962990000262,2022-05-13
1976.5781399999978,2022-05-16
-6292.232599999872,2022-05-17
-946.8598899999633,2022-05-18
16716.489760000026,2022-05-19
-8453.262639999972,2022-05-20
-8833.22847000009,2022-05-23
1385.0106300000334,2022-05-24
3490.09878999996,2022-05-25
-1462.8244499999564,2022-05-26
1138.0210600001737,2022-05-27
3700.6414399999194,2022-05-30
-2285.7573499998543,2022-05-31
-4086.417900000117,2022-06-01
-848.4142199999187,2022-06-02
6325.237540000002,2022-06-06
13802.089419999975,2022-06-07
-2297.9743799999123,2022-06-08
10821.658360000001,2022-06-09
-8754.688580000075,2022-06-10
7658.936990000308,2022-06-13
3811.5746099997777,2022-06-14
-2639.2085200002184,2022-06-15
20742.9677500003,2022-06-16
-2879.3647300001467,2022-06-17
-6724.785879999865,2022-06-20
-8411.46074000001,2022-06-21
4113.993389999727,2022-06-22
5196.563459999976,2022-06-23
5532.6258500000695,2022-06-24
6803.165169999935,2022-06-27
-2035.7866599997506,2022-06-28
9110.703780000098,2022-06-29
-2528.79579000012,2022-06-30
-219.8230300002033,2022-07-01
1539.0521300000837,2022-07-04
-11275.328639999963,2022-07-05
-748.4457999999868,2022-07-06
24.125370000023395,2022-07-07
-9551.913470000029,2022-07-08
-1828.9762999999803,2022-07-11
-267.15955999994185,2022-07-12
-3871.8976799997035,2022-07-13
-10197.974990000017,2022-07-14
-705.062880000216,2022-07-15
138.21650999982376,2022-07-18
245.77603000006638,2022-07-19
-1386.8299400000833,2022-07-20
1113.6868200001772,2022-07-21
-881.5855199998477,2022-07-22
2152.866039999877,2022-07-25
