ts_code,residual_avg,residual_coef,residual_intercept
002594.SZ,1.2968095624421045,0.06851585776419522,0.3718454826254691
000768.SZ,1.301624508769717,0.038531532307520606,0.7814488226181887
600660.SH,0.5989619756207596,0.02608561215728671,0.24680621149738902
601888.SH,0.9318993958773347,0.024710916813878096,0.5983020188899804
600741.SH,-0.1198303329475206,0.024171782296445163,-0.43406350280130773
000001.SZ,-0.43720414074801456,0.021358302942946553,-0.7255412304777931
600886.SH,0.050411905086826456,0.01955293969890387,-0.20377631099892385
601788.SH,0.12687532049943193,0.0174132717966876,-0.10820384875585065
600036.SH,-0.30657428036764534,0.01650097713483925,-0.5293374716879753
000858.SZ,0.5340119464870461,0.014949414921471763,0.3396695525079132
600085.SH,1.1065097987079928,0.010547130263424454,0.9641235401517627
000069.SZ,-0.22258127861868401,0.010518665521783982,-0.3645832631627678
600519.SH,0.8317754391324491,0.010207603497589451,0.6939727919149915
000157.SZ,-0.28497771317382464,0.010190531003733379,-0.42254988172422525
000776.SZ,-0.01155379996557794,0.007646949077938441,-0.1147876125177469
002007.SZ,1.2480160863768088,0.006725025804417846,1.157228238017168
002241.SZ,0.8555116553087789,0.005085488879685949,0.7868575554330186
600104.SH,-0.27180675148119854,0.0035652875787402826,-0.31815549000482224
000725.SZ,0.11675518380377052,0.0031136919009861724,0.0747203431404572
000963.SZ,0.5165851001134162,0.0029146458604126088,0.47723738099784596
601211.SH,-0.06000406370901101,0.0028939906974987544,-0.0990729381252442
600585.SH,-0.3823778002714153,0.0005830982358020939,-0.3902496264547436
600028.SH,-0.4184705454077621,0.00031691196660070515,-0.4227488569568716
601628.SH,0.23463355650112125,-0.0003914393550350651,0.23991798779409462
601318.SH,-0.21189026569648856,-0.0010312894825043129,-0.19796785768268033
600031.SH,0.046929849865909375,-0.0014650329087556454,0.06670779413411058
601398.SH,-0.7295257893688883,-0.0014769438970261874,-0.7095870467590348
601006.SH,-0.43526318379207113,-0.0019804541635655287,-0.40951727966571927
601939.SH,-0.7637891096755005,-0.0028657583398370157,-0.7251013720877008
002008.SZ,0.8819100651316637,-0.002943734275001777,0.9216504778441876
601688.SH,0.0039896719817561,-0.00359470188148013,0.05251814738173785
601988.SH,-0.8506355516742145,-0.003875301514108813,-0.7983189812337455
600837.SH,-0.08125523801540442,-0.004193098925699293,-0.02464840251846396
601288.SH,-0.8291252520612044,-0.0043202519017314,-0.7708018513878304
601328.SH,-0.8701372252464825,-0.004996587411919712,-0.8026832951855664
601618.SH,-0.281013613767745,-0.005161925883410291,-0.21132761434170605
002304.SZ,0.32266298995613885,-0.006972269485958497,0.4133024932735993
002736.SZ,0.30585243449876004,-0.009223700210148596,0.4257605372306918
601998.SH,-0.8110019205011618,-0.010831661201902338,-0.6647744942754803
600015.SH,-0.8786276669617453,-0.012595705412630208,-0.7148834965975526
601985.SH,0.25476180675195875,-0.013620333234439234,0.4318261387996688
600016.SH,-0.9322463451485394,-0.016174687692724767,-0.7138880612967551
601857.SH,-0.1675205051013089,-0.018477956267023966,0.08193190450351465
601186.SH,-0.5648376764694382,-0.02099289833873953,-0.2814335488964545
601601.SH,0.0029215441804124847,-0.024865558097160536,0.3386065784920797
601800.SH,-0.3417215148561662,-0.024948132260066418,-0.0049217293452695765
601668.SH,-0.6840676563019811,-0.025698266385674077,-0.33714106009538103
601336.SH,-0.03488625954354703,-0.029112869228272338,0.35813747503812954
601225.SH,-0.5905643402145712,-0.04233122812067712,-0.040258374645768646
600111.SH,0.9744946242566562,-0.06061181455120527,1.7927541206979274
